V E Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw Bc Bcm Bi Bim function
100 500 636,472   55   55  96,153   692     1  79,976   955     0 126,373 3,018      0   0  Baseline
100 500 358,516   91   91  89,523   169     0  47,981   403     7  48,720 6,624      0   0  Merge
100 500 345,193   93   92  90,506   281     1  37,914   291     0  47,017 6,150      0   0  Merge+SIMD
100 500 324,962   98   98  92,290   215     0  47,598   416    12  45,607 6,578      0   0  Merge+Rand
100 500 320,406   86   86  67,670   135     0  45,376   353     0  40,493 6,658      0   0  Inline
100 500 312,276   78   78  68,648   187     0  33,532   310   228  40,987 7,010      0   0  Vector
100 1000 1,241,119   54   54 183,459 22,672     1 151,986 24,060     0 250,745  5,857      0   0  Baseline
100 1000  672,339   91   91 163,578    292     0  86,879    897    87  92,056 12,445      0   0  Merge
100 1000  617,740   92   91 156,838    889     1  65,568    510    83  85,695 11,376      0   0  Merge+SIMD
100 1000 613,039   97   97 169,754    324     0  87,106    907    67  87,278 11,922      0   0  Merge+Rand
100 1000  598,789   84   84 124,458    607     0  81,449    680     0  77,403 12,839      0   0  Inline
100 1000 587,931   78   78 123,458    740     0  57,161    545   382  78,984 14,004      0   0  Vector
1000 5000 44,248,636   55   55  5,792,068 1,281,600     1  5,491,095 1,294,083  2,273 10,491,839  56,926       0   0  Baseline
1000 5000  6,581,911   91   91  1,599,375    14,909     0    838,310    18,563      0    898,612 112,973       0   0  Merge
1000 5000 6,457,398   98   98  1,809,913    15,620     0    917,368    21,143    775    927,961 137,658       0   0  Merge+Rand
1000 5000 6,059,489   78   78  1,268,403    36,510     0    604,128     7,180  3,605    810,798 134,965       0   0  Vector
1000 5000 5,884,869   93   92  1,478,770    40,328     1    630,818     6,123      0    812,374 104,436       0   0  Merge+SIMD
1000 5000 5,613,921   87   87  1,153,586    34,327     0    756,863    41,023    359    716,401 109,670       0   0  Inline
1000 10000 88,980,427   54   54 11,622,702 2,562,839     1 10,968,310 2,579,572  4,954 21,069,395 137,076       0   0  Baseline
1000 10000 13,207,650   91   91  3,134,731    25,507     0  1,625,532    42,366    823  1,814,744 236,690       0   0  Merge
1000 10000 13,004,172   78   78  2,617,881    91,316     0  1,204,535    15,899  6,818  1,776,243 314,464       0   0  Vector
1000 10000 12,205,303   97   97  3,294,419    25,285     0  1,651,680    42,283    169  1,740,193 196,994       0   0  Merge+Rand
1000 10000 11,832,410   84   84  2,373,752    64,964     0  1,529,096    74,280    844  1,532,669 243,229       0   0  Inline
1000 10000 11,265,821   91   90  2,730,001    95,052     1  1,156,396    12,546      0  1,575,234 213,205       0   0  Merge+SIMD
1000 20000 176,058,939   55   55 22,849,348 5,094,469     1 21,659,070 5,132,270  9,116 41,951,395 267,303       0   0  Baseline
1000 20000  23,808,948   91   91  5,545,319    49,102     0  2,837,108    86,921    669  3,293,404 440,605       0   0  Merge
1000 20000 23,324,299   78   78  4,561,716   212,709     0  2,034,091    36,313 10,337  3,243,392 598,403       0   0  Vector
1000 20000 21,922,085   96   96  5,844,069    49,643     0  2,884,440    86,039    528  3,169,212 372,494       0   0  Merge+Rand
1000 20000 20,919,465   84   84  4,136,996    98,209     0  2,631,473   121,053    248  2,746,430 444,941       0   0  Inline
1000 20000 20,530,276   91   90  4,815,171   219,031     1  1,991,790    30,540      0  2,897,458 419,317       0   0  Merge+SIMD
5000 10000   409,851,476   55   55    51,891,450 12,635,931     1    51,230,833 12,637,047  2,107   101,107,079 133,492         0   0  Baseline
5000 10000    13,994,846   92   92     3,484,632     59,247     0     1,872,541     42,314  1,223     1,869,890 240,252         0   0  Merge
5000 10000   13,740,667   78   78     2,981,266    109,844     0     1,484,875     19,791  8,305     1,787,866 296,544         0   0  Vector
5000 10000   13,207,948   92   91     3,442,561    117,068     1     1,509,505     16,985      0     1,772,121 231,276         0   0  Merge+SIMD
5000 10000   12,711,509   87   87     2,631,693    143,879     0     1,779,901    126,329  1,632     1,568,502 241,606         0   0  Inline
