# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 538  of event 'cycles:u'
# Event count (approx.): 489552705
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
    13.14%  main     [.] std::_Construct<LLord<LLord const&> >
     9.90%  main     [.] __gnu_cxx::operator!=<LLord const*, std::vector<LLord, std::allocator<LLord> > >
     6.34%  main     [.] std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*>
     4.19%  main     [.] operator new
     3.56%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::base
     3.20%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator++
     3.02%  main     [.] std::forward<LLord const&>
     2.59%  main     [.] std::__addressof<LLord>
     2.45%  main     [.] std::__insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     2.40%  main     [.] std::generate_canonical<double, 53ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     1.87%  main     [.] __gnu_cxx::operator!=<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     1.69%  main     [.] get_ll_col
     1.68%  main     [.] approxChol
     1.13%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator*
     0.94%  main     [.] std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     0.94%  main     [.] std::vector<int, std::allocator<int> >::operator[]
     0.93%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator+
     0.93%  main     [.] std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<LLcol>
     0.93%  main     [.] compressCol
     0.75%  main     [.] std::lower_bound<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>
     0.75%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator*
     0.75%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     0.75%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::operator[]
     0.58%  main     [.] std::vector<int, std::allocator<int> >::~vector
