# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 58  of event 'cycles:u'
# Event count (approx.): 31604140
#
# Overhead  Command  Symbol                                                                                                                                     
# ........  .......  ...........................................................................................................................................
#
     7.14%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::__normal_iterator
     5.65%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator++
     4.68%  main     [.] std::_Construct<LLord<LLord const&> >
     2.92%  main     [.] std::allocator<int>::~allocator
     2.92%  main     [.] std::_Destroy<LLcol*, LLcol>
     2.92%  main     [.] std::forward<int const&>
     2.92%  main     [.] std::_Vector_base<double, std::allocator<double> >::_M_create_storage
     2.91%  main     [.] get_ll_col
     2.91%  main     [.] std::vector<double, std::allocator<double> >::_M_emplace_back_aux<double const&>
     2.91%  main     [.] __gnu_cxx::new_allocator<double>::deallocate
     2.90%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::__normal_iterator
     2.90%  main     [.] std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>
     2.90%  main     [.] std::vector<double, std::allocator<double> >::max_size
     2.89%  main     [.] std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     2.87%  main     [.] std::_Iter_base<int*, false>::_S_base
     2.78%  main     [.] LDLinv::~LDLinv
     2.73%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::vector
     2.69%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*, LLord>
     2.65%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator+
     2.64%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     2.48%  main     [.] std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()
     2.35%  main     [.] std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>
     2.28%  main     [.] std::vector<double, std::allocator<double> >::operator[]
     1.65%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator*


#
# (Tip: Sample related events with: perf record -e '{cycles,instructions}:S')
#
